Incident Number,Exposure Number,ID,Address,Incident Date,Call Number,Alarm DtTm,Arrival DtTm,Close DtTm,City,zipcode,Battalion,Station Area,Box,Suppression Units,Suppression Personnel,EMS Units,EMS Personnel,Other Units,Other Personnel,First Unit On Scene,Estimated Property Loss,Estimated Contents Loss,Fire Fatalities,Fire Injuries,Civilian Fatalities,Civilian Injuries,Number of Alarms,Primary Situation,Mutual Aid,Action Taken Primary,Action Taken Secondary,Action Taken Other,Detector Alerted Occupants,Property Use,Area of Fire Origin,Ignition Cause,Ignition Factor Primary,Ignition Factor Secondary,Heat Source,Item First Ignited,Human Factors Associated with Ignition,Structure Type,Structure Status,Floor of Fire Origin,Fire Spread,No Flame Spead,Number of floors with minimum damage,Number of floors with significant damage,Number of floors with heavy damage,Number of floors with extreme damage,Detectors Present,Detector Type,Detector Operation,Detector Effectiveness,Detector Failure Reason,Automatic Extinguishing System Present,Automatic Extinguishing Sytem Type,Automatic Extinguishing Sytem Perfomance,Automatic Extinguishing Sytem Failure Reason,Number of Sprinkler Heads Operating,Supervisor District,neighborhood_district,point
3008937,0,030089370,Broadway / Montgomery St.,2003-01-31T00:00:00,030310436,2003-01-31T22:23:02,2003-01-31T22:25:13,2003-01-31T22:25:58,SF,94104,B01,13,,2,9,0,0,0,0,E13,0,0,0,0,0,0,1,"711 - Municipal alarm system, Street Box False",None,86 - Investigate,-,-,-,963 - Street or road in commercial area,,,,,,,,,,,,,,,,,,,,,,,,,,,3,North Beach,POINT (-122.403864 37.798222)
3008730,0,030087300,43rd Av. / Rivera St.,2003-01-31T00:00:00,030310124,2003-01-31T09:46:39,2003-01-31T09:51:34,2003-01-31T11:14:16,SF,94122,B08,23,,3,11,1,2,0,0,E23,0,0,0,0,0,0,1,322 - Vehicle accident with injuries,None,33 - Provide advanced life support (ALS),-,-,-,"962 - Residential street, road or residential dr",,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunset/Parkside,POINT (-122.501669 37.745644)
3008731,0,030087310,388 Carl St.,2003-01-31T00:00:00,030310127,2003-01-31T09:52:32,2003-01-31T09:53:58,2003-01-31T09:57:40,SF,94117,B05,12,,2,9,0,0,0,0,E12,0,0,0,0,0,0,1,"520 - Water problem, other",None,86 - Investigate,-,-,-,429 - Multifamily dwellings,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inner Sunset,POINT (-122.45621521 37.76545605)
3002370,0,030023700,1250 Columbus Av.,2003-01-08T00:00:00,030080210,2003-01-08T13:44:20,2003-01-08T13:48:17,2003-01-08T14:02:47,SF,94133,B01,28,,3,11,0,0,0,0,B01,0,0,0,0,0,0,1,"700 - False alarm or false call, other",None,86 - Investigate,-,-,-,"000 - Property Use, other",,,,,,,,,,,,,,,,,,,,,,,,,,,3,North Beach,POINT (-122.417614 37.805648)
3002427,0,030024270,1 Sf Intl Airport,2003-01-08T00:00:00,030080300,2003-01-08T17:20:05,2003-01-08T17:36:00,2003-01-08T18:13:35,SFO,94105,B09,44,,5,20,2,3,0,0,RC4,0,0,0,0,0,0,1,"651 - Smoke scare, odor of smoke",None,86 - Investigate,-,-,-,"880 - Vehicle storage, other",,,,,,,,,,,,,,,,,,,,,,,,,,,,Bayview Hunters Point,POINT (-122.38416 37.616901)
3005594,0,030055940,1 Maritime Pz,2003-01-19T00:00:00,030190305,2003-01-19T22:24:32,2003-01-19T22:26:50,2003-01-19T22:53:14,SF,94104,B01,13,,2,9,0,0,0,0,T13,0,0,0,0,0,0,1,531 - Smoke or odor removal,None,86 - Investigate,-,-,-,599 - Business office,,,,,,,,,,,,,,,,,,,,,,,,,,,,Financial District/South Beach,POINT (-122.399227 37.79518)
3000798,0,030007980,California St. / Spruce St.,2003-01-03T00:00:00,030030078,2003-01-03T08:22:51,2003-01-03T08:25:35,2003-01-03T09:15:26,SF,94115,B07,10,,1,4,0,0,0,0,E10,0,0,0,0,0,0,1,413 - Oil or other combustible liquid spill,None,43 - HazMat spill control and confinement,-,-,-,963 - Street or road in commercial area,,,,,,,,,,,,,,,,,,,,,,,,,,,,Presidio Heights,POINT (-122.453407 37.786416)
3003583,0,030035830,425 Mission St.,2003-01-12T00:00:00,030120270,2003-01-12T19:48:45,2003-01-12T19:51:58,2003-01-12T20:15:15,SF,94105,B03,35,,3,11,0,0,0,0,E35,0,0,0,0,0,0,1,"600 - Good intent call, other",None,63 - Restore fire alarm system,-,-,-,"170 - Passenger terminal, other",,,,,,,,,,,,,,,,,,,,,,,,,,,,Financial District/South Beach,POINT (-122.39659564 37.78969138)
3000595,0,030005950,705 Natoma St.,2003-01-02T00:00:00,030020274,2003-01-02T14:13:58,2003-01-02T14:17:48,2003-01-02T15:19:18,SF,94121,B02,01,,1,4,0,0,0,0,E36,0,0,0,0,0,0,1,"711 - Municipal alarm system, Street Box False",None,86 - Investigate,-,-,-,"960 - Street, other",,,,,,,,,,,,,,,,,,,,,,,,,,,,South of Market,POINT (-122.41222 37.776516)
3000599,0,030005990,650 California St.,2003-01-02T00:00:00,030020281,2003-01-02T14:29:00,2003-01-02T14:33:04,2003-01-02T14:38:22,SF,94111,B01,13,,3,11,0,0,0,0,E13,0,0,0,0,0,0,1,"730 - System malfunction, other",None,86 - Investigate,-,-,-,599 - Business office,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chinatown,POINT (-122.405758 37.792543)
3000609,0,030006090,2232 Webster St.,2003-01-02T00:00:00,030020300,2003-01-02T15:22:22,2003-01-02T15:24:14,2003-01-02T15:35:01,SF,94115,B04,38,,2,9,0,0,1,2,E38,0,0,0,0,0,0,1,"744 - Detector activation, no fire - accident",None,86 - Investigate,-,-,-,429 - Multifamily dwellings,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Pacific Heights,POINT (-122.43238748 37.79142016)
3000619,0,030006190,Geary Bl. / Masonic Av.,2003-01-02T00:00:00,030020313,2003-01-02T15:55:41,2003-01-02T15:57:19,2003-01-02T16:06:47,SF,94102,B05,10,,2,6,0,0,0,0,E10,0,0,0,0,0,0,1,322 - Vehicle accident with injuries,None,86 - Investigate,-,-,-,"962 - Residential street, road or residential dr",,,,,,,,,,,,,,,,,,,,,,,,,,,2,Lone Mountain/USF,POINT (-122.447303 37.782391)
3000620,0,030006200,Golden Gate Av. / Leavenworth St.,2003-01-02T00:00:00,030020316,2003-01-02T16:00:27,2003-01-02T16:03:42,2003-01-02T16:03:50,SF,94109,B02,01,,1,5,0,0,0,0,E03,0,0,0,0,0,0,1,"711 - Municipal alarm system, Street Box False",None,86 - Investigate,-,-,-,"962 - Residential street, road or residential dr",,,,,,,,,,,,,,,,,,,,,,,,,,,,Tenderloin,POINT (-122.41387 37.781862)
3000626,0,030006260,Haight St. / Lyon St.,2003-01-02T00:00:00,030020321,2003-01-02T16:14:33,2003-01-02T16:17:14,2003-01-02T16:18:25,SF,94117,B05,21,,2,9,0,0,0,0,E21,0,0,0,0,0,0,1,"711 - Municipal alarm system, Street Box False",None,86 - Investigate,-,-,-,"962 - Residential street, road or residential dr",,,,,,,,,,,,,,,,,,,,,,,,,,,,Haight Ashbury,POINT (-122.441998 37.770637)
3001077,0,030010770,San Bruno Av. / Wayland St.,2003-01-04T00:00:00,030040019,2003-01-04T01:20:04,2003-01-04T01:23:05,2003-01-04T01:23:09,SF,94134,B10,42,,1,4,0,0,0,0,E42,0,0,0,0,0,0,1,"711 - Municipal alarm system, Street Box False",None,86 - Investigate,-,-,-,"960 - Street, other",,,,,,,,,,,,,,,,,,,,,,,,,,,,Portola,POINT (-122.403105 37.726433)
3001089,0,030010890,18th St. / Castro St.,2003-01-04T00:00:00,030040032,2003-01-04T02:28:41,2003-01-04T02:31:54,2003-01-04T02:32:07,SF,94114,B05,06,,1,4,0,0,0,0,E06,0,0,0,0,0,0,1,"711 - Municipal alarm system, Street Box False",None,86 - Investigate,-,-,-,"962 - Residential street, road or residential dr",,,,,,,,,,,,,,,,,,,,,,,,,,,,Castro/Upper Market,POINT (-122.435003 37.760888)
3001340,0,030013400,201 Harrison St.,2003-01-04T00:00:00,030040349,2003-01-04T22:55:13,2003-01-04T22:58:14,2003-01-04T23:20:34,SF,94105,B03,35,,2,9,0,0,0,0,E35,0,0,0,0,0,0,1,111 - Building fire,None,86 - Investigate,-,-,-,429 - Multifamily dwellings,"24 - Cooking area, kitchen",2 - Unintentional,53 - Equipment unattended,-,"10 - Heat from powered equipment, other","76 - Cooking materials, inc. Edible materi",3 - Unattended or unsupervised person,1 -Enclosed building,2 -In normal use,2,-,1,1,0,0,0,1 -Present,1 -Smoke,2 -Detector operated,"1 -Alerted occupants, occupants responded",-,1 -Present,-,-,-,0,,Financial District/South Beach,POINT (-122.390322 37.788037)
3001348,0,030013480,Octavia St. / Page St.,2003-01-04T00:00:00,030040360,2003-01-04T23:31:11,2003-01-04T23:32:52,2003-01-04T23:35:27,SF,94105,B02,36,,1,4,0,0,0,0,E36,0,0,0,0,0,0,1,"100 - Fire, other",None,11 - Extinguish,-,-,U - Unknown,963 - Street or road in commercial area,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hayes Valley,POINT (-122.42406 37.773876)
3001350,0,030013500,1519 Haight St.,2003-01-04T00:00:00,030040363,2003-01-04T23:44:08,2003-01-04T23:48:38,2003-01-04T23:56:14,SF,94117,B05,12,,1,4,0,0,0,0,E12,0,0,0,0,0,0,1,411 - Gasoline or other flammable liquid spill,None,"44 - HazMat leak, control & containment",-,-,-,"960 - Street, other",,,,,,,,,,,,,,,,,,,,,,,,,,,5,Haight Ashbury,POINT (-122.447276 37.769893)
3001098,0,030010980,1 Van Ness Av.,2003-01-04T00:00:00,030040041,2003-01-04T03:29:44,2003-01-04T03:32:06,2003-01-04T03:32:51,SF,94102,B02,36,,2,9,0,0,0,0,E36,0,0,0,0,0,0,1,"711 - Municipal alarm system, Street Box False",None,86 - Investigate,-,-,-,"960 - Street, other",,,,,,,,,,,,,,,,,,,,,,,,,,,,Hayes Valley,POINT (-122.419357 37.775202)
3001100,0,030011000,737 Bush St.,2003-01-04T00:00:00,030040043,2003-01-04T03:45:26,2003-01-04T03:49:22,2003-01-04T04:22:12,SF,94133,B01,02,,2,5,0,0,0,0,E02,0,0,0,0,0,0,1,"700 - False alarm or false call, other",None,86 - Investigate,-,-,-,"960 - Street, other",,,,,,,,,,,,,,,,,,,,,,,,,,,,Nob Hill,POINT (-122.40939193 37.78979319)
3001833,0,030018330,1414 Valencia St.,2003-01-06T00:00:00,030060276,2003-01-06T17:24:36,2003-01-06T17:31:54,2003-01-06T18:01:42,SF,94114,B06,11,,1,5,0,0,0,0,T11,0,0,0,0,0,0,1,522 - Water or steam leak,None,73 - Provide manpower,-,-,-,419 - 1 or 2 family dwelling,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mission,POINT (-122.42077347 37.75016948)
3001834,0,030018340,50 Fremont St.,2003-01-06T00:00:00,030060277,2003-01-06T17:31:44,2003-01-06T17:35:25,2003-01-06T17:38:59,SF,94105,B03,35,,3,11,0,0,0,0,T13,0,0,0,0,0,0,1,735 - Alarm system sounded due to malfunction,None,86 - Investigate,-,-,-,599 - Business office,,,,,,,,,,,,,,,,,,,,,,,,,,,,Financial District/South Beach,POINT (-122.397365 37.790304)
3001840,0,030018400,79 Divisadero St.,2003-01-06T00:00:00,030060284,2003-01-06T17:52:59,2003-01-06T17:56:21,2003-01-06T18:06:01,SF,94114,B05,06,,1,4,0,0,0,0,E06,0,0,0,0,0,0,1,"500 - Service Call, other",None,86 - Investigate,-,-,-,"962 - Residential street, road or residential dr",,,,,,,,,,,,,,,,,,,,,,,,,,,,Castro/Upper Market,POINT (-122.4368755 37.76855265)
3001842,0,030018420,55 Stevenson St.,2003-01-06T00:00:00,030060286,2003-01-06T17:57:51,2003-01-06T18:00:52,2003-01-06T18:40:20,SF,94104,B03,01,,3,11,0,0,0,0,E01,0,0,0,0,0,0,1,412 - Gas leak (natural gas or LPG),None,64 - Shut down system,-,-,-,161 - Restaurant or cafeteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,Financial District/South Beach,POINT (-122.39957773 37.78955819)
3001843,0,030018430,1631 Hayes St.,2003-01-06T00:00:00,030060288,2003-01-06T18:01:19,2003-01-06T18:03:17,2003-01-06T18:10:20,SF,94117,B05,21,,3,11,0,0,0,0,E21,0,0,0,0,0,0,1,"651 - Smoke scare, odor of smoke",None,86 - Investigate,-,-,-,429 - Multifamily dwellings,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lone Mountain/USF,POINT (-122.44328 37.774221)
3002075,0,030020750,3rd St. / Howard St.,2003-01-07T00:00:00,030070253,2003-01-07T13:54:27,2003-01-07T13:58:32,2003-01-07T13:58:32,SF,94105,B03,01,,2,9,0,0,0,0,,0,0,0,0,0,0,1,"711 - Municipal alarm system, Street Box False",None,86 - Investigate,-,-,-,963 - Street or road in commercial area,,,,,,,,,,,,,,,,,,,,,,,,,,,,Financial District/South Beach,POINT (-122.400474 37.785029)
